SIC Code,SIC Description ,NAICS Code ,NAICS Description ,Industry,Sector,Sub-sector
173,Tree Nuts,111335,Tree Nut Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming
174,Citrus Fruits,111310,Orange Groves,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming
174,Citrus Fruits,111320,Citrus (except Orange) Groves ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming
175,Deciduous Tree Fruits,111331,Apple Orchards ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming
175,Deciduous Tree Fruits,111339,Other Noncitrus Fruit Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming
179,"Fruits and Tree Nuts, Nec",111336,Fruit and Tree Nut Combination Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming
179,"Fruits and Tree Nuts, Nec",111339,Other Noncitrus Fruit Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming
181,Ornamental Nursery Products,111421,Nursery and Tree Production ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,"Greenhouse, Nursery, and Floriculture Production"
181,Ornamental Nursery Products,111422,Floriculture Production ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,"Greenhouse, Nursery, and Floriculture Production"
182,Food Crops Grown Under Cover,111411,Mushroom Production ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,"Greenhouse, Nursery, and Floriculture Production"
182,Food Crops Grown Under Cover,111419,Other Food Crops Grown Under Cover ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,"Greenhouse, Nursery, and Floriculture Production"
191,"General Farms, Primarily Crop",111998,All Other Miscellaneous Crop Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Other Crop Farming
191,"General Farms, Primarily Crop",112519,Other Aquaculture ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Aquaculture
211,Beef Cattle Feedlots,112112,Cattle Feedlots ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Cattle Ranching and Farming
212,"Beef Cattle, Except Feedlots",112111,Beef Cattle Ranching and Farming ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Cattle Ranching and Farming
213,Hogs,112210,Hog and Pig Farming ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Hog and Pig Farming
214,Sheep and Goats,112410,Sheep Farming,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Sheep and Goat Farming
214,Sheep and Goats,112420,Goat Farming,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Sheep and Goat Farming
219,"General Livestock, Nec",112990,All Other Animal Production ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Other Animal Production
241,Dairy Farms,112111,Beef Cattle Ranching and Farming ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Cattle Ranching and Farming
241,Dairy Farms,112120,Dairy Cattle and Milk Production,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Cattle Ranching and Farming
251,"Broiler, Fryer, and Roaster Chickens",112320,Broilers and Other Meat Type Chicken Production ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Poultry and Egg Production
252,Chicken Eggs,112310,Chicken Egg Production ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Poultry and Egg Production
253,Turkeys and Turkey Eggs,112330,Turkey Production,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Poultry and Egg Production
254,Poultry Hatcheries,112340,Poultry Hatcheries,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Poultry and Egg Production
259,"Poultry and Eggs, Nec",112390,Other Poultry Production ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Poultry and Egg Production
271,Fur-bearing Animals and Rabbits,112930,Fur-Bearing Animal and Rabbit Production,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Other Animal Production
272,Horses and Other Equines,112920,Horses and Other Equine Production,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Other Animal Production
273,Animal Aquaculture,112511,Finfish Farming and Fish Hatcheries ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Aquaculture
273,Animal Aquaculture,112512,Shellfish Farming ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Aquaculture
273,Animal Aquaculture,112519,Other Aquaculture ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Aquaculture
279,"Animal Specialties, Nec",112519,Other Aquaculture ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Aquaculture
279,"Animal Specialties, Nec",112910,Apiculture,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Other Animal Production
279,"Animal Specialties, Nec",112990,All Other Animal Production ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Other Animal Production
291,"General Farms, Primarily animals",112990,All Other Animal Production ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Other Animal Production
711,Soil Preparation Services,115112,"Soil Preparation, Planting, and Cultivating ","Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Crop Production
721,Crop Planting and Protection,115112,"Soil Preparation, Planting, and Cultivating ","Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Crop Production
722,Crop Harvesting,115113,"Crop Harvesting, Primarily by Machine ","Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Crop Production
723,Crop Preparation Services For Market,115114,Postharvest Crop Activities (except Cotton Ginning) ,"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Crop Production
723,Crop Preparation Services For Market,311119,Other Animal Food Manufacturing ,Manufacturing,Food Manufacturing,Animal Food Manufacturing
724,Cotton Ginning,115111,Cotton Ginning ,"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Crop Production
741,Veterinary Services For Livestock,541940,Veterinary Services ,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","Other Professional, Scientific, and Technical Services"
742,"Veterinary Services, Specialties",541940,Veterinary Services ,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","Other Professional, Scientific, and Technical Services"
751,"Livestock Services, Except Veterinary",115210,Support Activities for Animal Production,"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Animal Production
751,"Livestock Services, Except Veterinary",311611,Animal (except Poultry) Slaughtering ,Manufacturing,Food Manufacturing,Animal Slaughtering and Processing
752,Animal Specialty Services,115210,Support Activities for Animal Production,"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Animal Production
752,Animal Specialty Services,812910,Pet Care (except Veterinary) Services ,Other Services (except Public Administration),Personal and Laundry Services,Other Personal Services
761,Farm Labor Contractors,115115,Farm Labor Contractors and Crew Leaders ,"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Crop Production
762,Farm Management Services,115116,Farm Management Services ,"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Crop Production
781,Landscape Counseling and Planning,541320,Landscape Architectural Services,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","Architectural, Engineering, and Related Services"
781,Landscape Counseling and Planning,541690,Other Scientific and Technical Consulting Services,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","Management, Scientific, and Technical Consulting Services"
782,Lawn and Garden Services,561730,Landscaping Services,Administrative and Support and Waste Management and Remediation Services,Administrative and Support Services,Services to Buildings and Dwellings
783,Ornamental Shrub and Tree Services,561730,Landscaping Services,Administrative and Support and Waste Management and Remediation Services,Administrative and Support Services,Services to Buildings and Dwellings
811,Timber Tracts,111421,Nursery and Tree Production ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,"Greenhouse, Nursery, and Floriculture Production"
811,Timber Tracts,113110,Timber Tract Operations,"Agriculture, Forestry, Fishing and Hunting",Forestry and Logging,Timber Tract Operations
831,Forest Products,111998,All Other Miscellaneous Crop Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Other Crop Farming
831,Forest Products,112519,Other Aquaculture ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Aquaculture
831,Forest Products,113210,Forest Nurseries and Gathering of Forest Products ,"Agriculture, Forestry, Fishing and Hunting",Forestry and Logging,Forest Nurseries and Gathering of Forest Products
851,Forestry Services,115310,Support Activities for Forestry,"Agriculture, Forestry, Fishing and Hunting",Support Activities for Agriculture and Forestry,Support Activities for Forestry
912,Finfish,114111,Finfish Fishing ,"Agriculture, Forestry, Fishing and Hunting","Fishing, Hunting and Trapping",Fishing
913,Shellfish,114112,Shellfish Fishing ,"Agriculture, Forestry, Fishing and Hunting","Fishing, Hunting and Trapping",Fishing
919,Miscellaneous Marine Products,111998,All Other Miscellaneous Crop Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Other Crop Farming
919,Miscellaneous Marine Products,112512,Shellfish Farming ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Aquaculture
919,Miscellaneous Marine Products,112519,Other Aquaculture ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Aquaculture
919,Miscellaneous Marine Products,114112,Shellfish Fishing ,"Agriculture, Forestry, Fishing and Hunting","Fishing, Hunting and Trapping",Fishing
919,Miscellaneous Marine Products,114119,Other Marine Fishing ,"Agriculture, Forestry, Fishing and Hunting","Fishing, Hunting and Trapping",Fishing
921,Fish Hatcheries and Preserves,112511,Finfish Farming and Fish Hatcheries ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Aquaculture
921,Fish Hatcheries and Preserves,112512,Shellfish Farming ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Aquaculture
971,"Hunting, Trapping, Game Propagation",114210,Hunting and Trapping,"Agriculture, Forestry, Fishing and Hunting","Fishing, Hunting and Trapping",Hunting and Trapping
1011,Iron Ores,212210,Iron Ore Mining,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Metal Ore Mining
1021,Copper Ores,212230,"Copper, Nickel, Lead, and Zinc Mining ","Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Metal Ore Mining
1031,Lead and Zinc Ores,212230,"Copper, Nickel, Lead, and Zinc Mining ","Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Metal Ore Mining
1041,Gold Ores,212221,Gold Ore Mining ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Metal Ore Mining
1044,Silver Ores,212222,Silver Ore Mining ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Metal Ore Mining
1061,"Ferroalloy Ores, Except Vanadium",212230,"Copper, Nickel, Lead, and Zinc Mining ","Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Metal Ore Mining
1061,"Ferroalloy Ores, Except Vanadium",212299,All Other Metal Ore Mining ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Metal Ore Mining
1081,Metal Mining Services,213114,Support Activities for Metal Mining ,"Mining, Quarrying, and Oil and Gas Extraction",Support Activities for Mining,Support Activities for Mining
1081,Metal Mining Services,238910,Site Preparation Contractors,Construction,Specialty Trade Contractors,Other Specialty Trade Contractors
1081,Metal Mining Services,541360,Geophysical Surveying and Mapping Services,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","Architectural, Engineering, and Related Services"
1094,Uranium-radium-vanadium Ores,212291,Uranium-Radium-Vanadium Ore Mining ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Metal Ore Mining
1099,"Metal Ores, Nec",212299,All Other Metal Ore Mining ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Metal Ore Mining
1221,Bituminous Coal and Lignite-surface Mining,212111,Bituminous Coal and Lignite Surface Mining ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Coal Mining
1222,Bituminous Coal-underground Mining,212112,Bituminous Coal Underground Mining ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Coal Mining
1231,Anthracite Mining,212113,Anthracite Mining ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Coal Mining
1241,Coal Mining Services,213113,Support Activities for Coal Mining ,"Mining, Quarrying, and Oil and Gas Extraction",Support Activities for Mining,Support Activities for Mining
1241,Coal Mining Services,238910,Site Preparation Contractors,Construction,Specialty Trade Contractors,Other Specialty Trade Contractors
1311,Crude Petroleum and Natural Gas,211120,Crude Petroleum Extraction ,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,Oil and Gas Extraction
1321,Natural Gas Liquids,211130,Natural Gas Extraction ,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,Oil and Gas Extraction
1381,Drilling Oil and Gas Wells,213111,Drilling Oil and Gas Wells,"Mining, Quarrying, and Oil and Gas Extraction",Support Activities for Mining,Support Activities for Mining
1382,Oil and Gas Exploration Services,213112,Support Activities for Oil and Gas Operations ,"Mining, Quarrying, and Oil and Gas Extraction",Support Activities for Mining,Support Activities for Mining
1382,Oil and Gas Exploration Services,541360,Geophysical Surveying and Mapping Services,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","Architectural, Engineering, and Related Services"
1389,"Oil and Gas Field Services, Nec",213112,Support Activities for Oil and Gas Operations ,"Mining, Quarrying, and Oil and Gas Extraction",Support Activities for Mining,Support Activities for Mining
1389,"Oil and Gas Field Services, Nec",237120,Oil and Gas Pipeline and Related Structures Construction ,Construction,Heavy and Civil Engineering Construction,Utility System Construction
1389,"Oil and Gas Field Services, Nec",238910,Site Preparation Contractors,Construction,Specialty Trade Contractors,Other Specialty Trade Contractors
1411,Dimension Stone,212311,Dimension Stone Mining and Quarrying ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying
1422,Crushed and Broken Limestone,212312,Crushed and Broken Limestone Mining and Quarrying ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying
1423,Crushed and Broken Granite,212313,Crushed and Broken Granite Mining and Quarrying ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying
1429,"Crushed and Broken Stone, Nec",212319,Other Crushed and Broken Stone Mining and Quarrying ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying
1442,Construction Sand and Gravel,212321,Construction Sand and Gravel Mining ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying
1446,Industrial Sand,212322,Industrial Sand Mining ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying
1455,Kaolin and Ball Clay,212324,Kaolin and Ball Clay Mining ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying
1459,"Clay and Related Minerals, Nec",212325,Clay and Ceramic and Refractory Minerals Mining ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying
1474,"Potash, Soda, and Borate Minerals",212391,"Potash, Soda, and Borate Mineral Mining ","Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying
1475,Phosphate Rock,212392,Phosphate Rock Mining ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying
1479,Chemical and Fertilizer Mining,212393,Other Chemical and Fertilizer Mineral Mining ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying
1481,Nonmetallic Mineral Services,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining ,"Mining, Quarrying, and Oil and Gas Extraction",Support Activities for Mining,Support Activities for Mining
1481,Nonmetallic Mineral Services,238910,Site Preparation Contractors,Construction,Specialty Trade Contractors,Other Specialty Trade Contractors
1481,Nonmetallic Mineral Services,541360,Geophysical Surveying and Mapping Services,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","Architectural, Engineering, and Related Services"
1499,Miscellaneous Nonmetallic Mining,212319,Other Crushed and Broken Stone Mining and Quarrying ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying
1499,Miscellaneous Nonmetallic Mining,212399,All Other Nonmetallic Mineral Mining ,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),Nonmetallic Mineral Mining and Quarrying
1521,Single-family Housing Construction,236115,New Single-Family Housing Construction (except For-Sale Builders) ,Construction,Construction of Buildings,Residential Building Construction
1521,Single-family Housing Construction,236118,Residential Remodelers ,Construction,Construction of Buildings,Residential Building Construction
1522,"Residential Construction, Nec",236116,New Multifamily Housing Construction (except For-Sale Builders) ,Construction,Construction of Buildings,Residential Building Construction
1522,"Residential Construction, Nec",236118,Residential Remodelers ,Construction,Construction of Buildings,Residential Building Construction
1522,"Residential Construction, Nec",236220,Commercial and Institutional Building Construction ,Construction,Construction of Buildings,Nonresidential Building Construction
1531,Operative Builders,236117,New Housing For-Sale Builders ,Construction,Construction of Buildings,Residential Building Construction
1531,Operative Builders,236118,Residential Remodelers ,Construction,Construction of Buildings,Residential Building Construction
1531,Operative Builders,236210,Industrial Building Construction ,Construction,Construction of Buildings,Nonresidential Building Construction
1531,Operative Builders,236220,Commercial and Institutional Building Construction ,Construction,Construction of Buildings,Nonresidential Building Construction
1541,Industrial Buildings and Warehouses,236210,Industrial Building Construction ,Construction,Construction of Buildings,Nonresidential Building Construction
1541,Industrial Buildings and Warehouses,236220,Commercial and Institutional Building Construction ,Construction,Construction of Buildings,Nonresidential Building Construction
1542,"Nonresidential Construction, Nec",236220,Commercial and Institutional Building Construction ,Construction,Construction of Buildings,Nonresidential Building Construction
1611,Highway and Street Construction,237310,"Highway, Street, and Bridge Construction ",Construction,Heavy and Civil Engineering Construction,"Highway, Street, and Bridge Construction"
1622,"Bridge, Tunnel, and Elevated Highway",237310,"Highway, Street, and Bridge Construction ",Construction,Heavy and Civil Engineering Construction,"Highway, Street, and Bridge Construction"
1622,"Bridge, Tunnel, and Elevated Highway",237990,Other Heavy and Civil Engineering Construction ,Construction,Heavy and Civil Engineering Construction,Other Heavy and Civil Engineering Construction
1623,"Water, Sewer, and Utility Lines",237110,Water and Sewer Line and Related Structures Construction ,Construction,Heavy and Civil Engineering Construction,Utility System Construction
1623,"Water, Sewer, and Utility Lines",237120,Oil and Gas Pipeline and Related Structures Construction ,Construction,Heavy and Civil Engineering Construction,Utility System Construction
1623,"Water, Sewer, and Utility Lines",237130,Power and Communication Line and Related Structures Construction ,Construction,Heavy and Civil Engineering Construction,Utility System Construction
1629,"Heavy Construction, Nec",236210,Industrial Building Construction ,Construction,Construction of Buildings,Nonresidential Building Construction
1629,"Heavy Construction, Nec",237110,Water and Sewer Line and Related Structures Construction ,Construction,Heavy and Civil Engineering Construction,Utility System Construction
1629,"Heavy Construction, Nec",237120,Oil and Gas Pipeline and Related Structures Construction ,Construction,Heavy and Civil Engineering Construction,Utility System Construction
1629,"Heavy Construction, Nec",237130,Power and Communication Line and Related Structures Construction ,Construction,Heavy and Civil Engineering Construction,Utility System Construction
1629,"Heavy Construction, Nec",237990,Other Heavy and Civil Engineering Construction ,Construction,Heavy and Civil Engineering Construction,Other Heavy and Civil Engineering Construction
1629,"Heavy Construction, Nec",238910,Site Preparation Contractors,Construction,Specialty Trade Contractors,Other Specialty Trade Contractors
1711,"Plumbing, Heating, Air-conditioning",238210,Electrical Contractors and Other Wiring Installation Contractors,Construction,Specialty Trade Contractors,Building Equipment Contractors
1711,"Plumbing, Heating, Air-conditioning",238220,"Plumbing, Heating, and Air-Conditioning Contractors ",Construction,Specialty Trade Contractors,Building Equipment Contractors
1711,"Plumbing, Heating, Air-conditioning",238910,Site Preparation Contractors,Construction,Specialty Trade Contractors,Other Specialty Trade Contractors
1721,Painting and Paper Hanging,237310,"Highway, Street, and Bridge Construction ",Construction,Heavy and Civil Engineering Construction,"Highway, Street, and Bridge Construction"
1721,Painting and Paper Hanging,238320,Painting and Wall Covering Contractors,Construction,Specialty Trade Contractors,Building Finishing Contractors
1731,Electrical Work,238210,Electrical Contractors and Other Wiring Installation Contractors,Construction,Specialty Trade Contractors,Building Equipment Contractors
1741,Masonry and Other Stonework,238140,Masonry Contractors ,Construction,Specialty Trade Contractors,"Foundation, Structure, and Building Exterior Contractors"
1742,"Plastering, Drywall, and Insulation",238310,Drywall and Insulation Contractors ,Construction,Specialty Trade Contractors,Building Finishing Contractors
1743,"Terrazzo, Tile, Marble, Mosaic Work",238310,Drywall and Insulation Contractors ,Construction,Specialty Trade Contractors,Building Finishing Contractors
1743,"Terrazzo, Tile, Marble, Mosaic Work",238340,Tile and Terrazzo Contractors,Construction,Specialty Trade Contractors,Building Finishing Contractors
1751,Carpentry Work,238130,Framing Contractors ,Construction,Specialty Trade Contractors,"Foundation, Structure, and Building Exterior Contractors"
1751,Carpentry Work,238350,Finish Carpentry Contractors,Construction,Specialty Trade Contractors,Building Finishing Contractors
1752,"Floor Laying and Floor Work, Nec",238310,Drywall and Insulation Contractors ,Construction,Specialty Trade Contractors,Building Finishing Contractors
1752,"Floor Laying and Floor Work, Nec",238330,Flooring Contractors,Construction,Specialty Trade Contractors,Building Finishing Contractors
1761,"Roofing, Siding, and Sheetmetal Work",238160,Roofing Contractors ,Construction,Specialty Trade Contractors,"Foundation, Structure, and Building Exterior Contractors"
1761,"Roofing, Siding, and Sheetmetal Work",238170,Siding Contractors ,Construction,Specialty Trade Contractors,"Foundation, Structure, and Building Exterior Contractors"
1761,"Roofing, Siding, and Sheetmetal Work",238390,Other Building Finishing Contractors,Construction,Specialty Trade Contractors,Building Finishing Contractors
1771,Concrete Work,238110,Poured Concrete Foundation and Structure Contractors ,Construction,Specialty Trade Contractors,"Foundation, Structure, and Building Exterior Contractors"
1771,Concrete Work,238140,Masonry Contractors ,Construction,Specialty Trade Contractors,"Foundation, Structure, and Building Exterior Contractors"
1771,Concrete Work,238990,All Other Specialty Trade Contractors,Construction,Specialty Trade Contractors,Other Specialty Trade Contractors
1781,Water Well Drilling,237110,Water and Sewer Line and Related Structures Construction ,Construction,Heavy and Civil Engineering Construction,Utility System Construction
1791,Structural Steel Erection,238120,Structural Steel and Precast Concrete Contractors ,Construction,Specialty Trade Contractors,"Foundation, Structure, and Building Exterior Contractors"
1791,Structural Steel Erection,238190,"Other Foundation, Structure, and Building Exterior Contractors ",Construction,Specialty Trade Contractors,"Foundation, Structure, and Building Exterior Contractors"
1791,Structural Steel Erection,238220,"Plumbing, Heating, and Air-Conditioning Contractors ",Construction,Specialty Trade Contractors,Building Equipment Contractors
1791,Structural Steel Erection,238310,Drywall and Insulation Contractors ,Construction,Specialty Trade Contractors,Building Finishing Contractors
1793,Glass and Glazing Work,238150,Glass and Glazing Contractors ,Construction,Specialty Trade Contractors,"Foundation, Structure, and Building Exterior Contractors"
1794,Excavation Work,238910,Site Preparation Contractors,Construction,Specialty Trade Contractors,Other Specialty Trade Contractors
1795,Wrecking and Demolition Work,238910,Site Preparation Contractors,Construction,Specialty Trade Contractors,Other Specialty Trade Contractors
1796,Installing Building Equipment,238220,"Plumbing, Heating, and Air-Conditioning Contractors ",Construction,Specialty Trade Contractors,Building Equipment Contractors
1796,Installing Building Equipment,238290,Other Building Equipment Contractors ,Construction,Specialty Trade Contractors,Building Equipment Contractors
